line,datetime,dim,m_dist,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89,hw910,hw1011,hw1112,hw1213
18,2021-01-05 19:01:58.331019100,3,3.64549,2,LJ16EWZ,LJ66TSO,BF67GMG,LJ16EWW,0,0,0,0,0,0,0,0,0,-1077,440,624,0,0,0,0,0,0,0,0,0
18,2021-01-05 19:01:58.331019100,4,4.05146,2,LJ16EWZ,LJ66TSO,BF67GMG,LJ16EWW,LJ15JYZ,0,0,0,0,0,0,0,0,-1077,440,624,-299,0,0,0,0,0,0,0,0
18,2021-01-05 19:01:58.331019100,5,4.1334,2,LJ16EWZ,LJ66TSO,BF67GMG,LJ16EWW,LJ15JYZ,BF67GMV,0,0,0,0,0,0,0,-1077,440,624,-299,549,0,0,0,0,0,0,0
18,2021-01-05 19:01:58.331019100,6,4.59122,2,LJ16EWZ,LJ66TSO,BF67GMG,LJ16EWW,LJ15JYZ,BF67GMV,LJ66TRZ,0,0,0,0,0,0,-1077,440,624,-299,549,-391,0,0,0,0,0,0

18,2021-01-11 18:32:57.215599300,3,3.63516,2,BF67GLJ,BF67GMY,LJ16EWH,BF67GMU,0,0,0,0,0,0,0,0,0,430,-957,1340,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:32:57.215599300,2,3.50589,2,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,430,-957,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:32:28.419892600,3,3.75175,2,BF67GLJ,BF67GMY,LJ16EWH,BF67GMU,0,0,0,0,0,0,0,0,0,328,-967,1365,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:32:28.419892600,2,3.63212,2,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,328,-967,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:31:59.594212100,3,3.76437,2,BF67GLJ,BF67GMY,LJ16EWH,BF67GMU,0,0,0,0,0,0,0,0,0,286,-967,1340,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:31:59.594212100,2,3.67803,2,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,286,-967,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:29:29.787771500,3,4.23285,2,BF67GLJ,BF67GMY,LJ16EWH,BF67GMU,0,0,0,0,0,0,0,0,0,362,-1165,1447,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:29:29.787771500,2,4.15572,2,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,362,-1165,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:27:30.766670100,3,5.71316,2,BF67GLJ,BF67GMY,LJ16EWH,BF67GMU,0,0,0,0,0,0,0,0,0,317,-1638,1904,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:27:30.766670100,2,5.53706,2,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,317,-1638,0,0,0,0,0,0,0,0,0,0
